Inert,,Reflux,,Temperature,,Normal-Cond,,,Irradiation,,Green chemistry,,Molecular sieve,,autoclave,,,,biologic,,darkness,,sonication,,SPECIAL,,,,milling,,no solvent,,Destillation,,Pressure,,,E-Chem,,pH,,Kinetic,,,,Drying,,ysis
Inert atmosphere,,Reflux,,Heating,,Ambient temperature,,,Irradiation,,Green chemistry,,Molecular sieve,,Autoclave,,,,Enzymatic reaction,,Darkness,,Sonication,,Resolution of racemate,,,,Milling,,"neat (no solvent, solid phase)",,Dean-Stark,,High pressure,,,Electrolysis,,Alkaline conditions,,Geschwindigkeit der Reaktion,,,,unter Entfernen des entstehenden Wassers (drying),,hydrolysis
Schlenk technique,,reflux,,Cooling with ice,,atmospheric pressure,,,Microwave irradiation,,,,,,autoclave,,,,solid phase reaction,,in the dark,,sonication,,Racemisierung,,,,,,neat (no solvent),,durch Destillation,,unter Druck,,,Electrochemical reaction,,Acidic conditions,,Geschwindigkeit,,,,Entfernen des entstehenden Wassers,,Solvolyse
Glovebox,,Heating / reflux,,Cooling,,Air atmosphere,,,UV-irradiation,,,,,,im Druckrohr,,,,Microbiological reaction,,dark,,ultrasonication,,Verseifung,,,,Grinding,,Neat (no solvent),,Destillation,,unter vermindertem Druck,,,Electric arc,,Acidic aqueous solution,,Geschwindigkeit.Hydrolysis,,,,,,Hydrolysis
unter Stickstoff,,,,cooling,,Air,,,microwave irradiation,,,,,,im Rohr,,,,Formation of xenobiotics,,,,sonification,,beim Schmelzen,,,,grinding,,,,Dean-Stark trap,,Hydrogenation.unter Druck,,,electrolysis,,Acid hydrolysis,,Geschwindigkeit der Zersetzung,,,,,,(hydrolysis)
Nitrogen atmosphere,,,,Cooling with acetone-dry ice,,In air,,,Photolysis,,,,,,sealed tube,,,,Micellar solution,,,,Ultrasonic irradiation,,Large scale,,,,,,,,Dean-Stark apparatus,,im Vakuum,,,(electrolysis),,Alkaline aqueous solution,,Geschwindigkeit der Verseifung,,,,,,
Inert atmosphere of nitrogen,,,,Cooling with liquid nitrogen,,air,,,Microwave,,,,,,Sealed vial,,,,aq. acetate buffer,,,,Ultrasound irradiation,,Flow reactor,,,,,,,,beim Destillieren,,,,,anodic oxidation,,Neutral conditions,,,,,,,,Solvolysis
,,,,(heating),,under air,,,microwave,,,,,,Sealed vessel,,,,Aqueous phosphate buffer,,,,,,Combinatorial reaction / High throughput screening (HTS),,,,,,,,bei der trocknen Destillation,,,,,(electrochemical reduction),,Alkaline hydrolysis,,,,,,,,
,,,,unter Kuehlung,,Under air,,,Flash photolysis,,,,,,im geschlossenen Rohr,,,,aq. phosphate buffer,,,,,,Salz entsteht,,,,,,,,bei der Destillation,,,,,bei der elektrolytischen Reduktion,,liquid NH3,,,,,,,,
,,,,"1.) THF, -78 deg C",,in air,,,ultrasonic irradiation,,,,,,Sealed tube,,,,solid phase synthesis,,,,,,Industry scale,,,,,,,,,,,,,electrochemical reduction,,Acidic aq. solution,,,,,,,,Hydration
,,,,beim Erhitzen ueber den Schmelzpunkt,,,,,ultrasound,,,,,,Sealed,,,,aq. buffer,,,,,,Industrial scale,,,,,,,,,,,,,,,pH 7,,,,,,,,
,,,,other temperatures,,,,,ultrasound irradiation,,,,,,Sealed flask,,,,,,,,,,Large scale reaction,,,,,,,,,,,,,,,Einleiten von HCl,,,,,,,,
,,,,beim Erhitzen,,,,,Irradiation.UV-Licht,,,,,,im Autoklaven,,,,,,,,,,Ionic liquid,,,,,,,,,,,,,,,,,,,,,,,
,,,,0 deg C to r.t.,,,,,irradiation,,,,,,,,,,,,,,,,Reaktion ueber mehrere Stufen,,,,,,,,,,,,,,,,,,,,,,,hydrolysis
,,,,heating,,,,,im Sonnenlicht,,,,,,,,,,,,,,,,Automated synthesizer,,,,,,,,,,,,,,,,,,,,,,,Solvolyse
,,,,other temperature,,,,,Microwave heating,,,,,,,,,,,,,,,,other solvents,,,,,,,,,,,,,,,,,,,,,,,Hydrolysis
,,,,bei Siedetemperatur,,,,,UV-Licht.Irradiation,,,,,,,,,,,,,,,,Diazotization,,,,,,,,,,,,,,,,,,,,,,,(hydrolysis)
,,,,Cooling with ethanol-dry ice,,,,,Irradiation.mit UV-Licht,,,,,,,,,,,,,,,,Oxydation,,,,,,,,,,,,,,,,,,,,,,,Solvolysis
,,,,-78 deg C to r.t.,,,,,γ-Irradiation,,,,,,,,,,,,,,,,other solvent,,,,,,,,,,,,,,,,,,,,,,,Hydrogenolyse
,,,,var. temp.,,,,,Radiolysis,,,,,,,,,,,,,,,,ueber mehrere Stufen,,,,,,,,,,,,,,,,,,,,,,,
,,,,Cooling with ice bath,,,,,,,,,,,,,,,,,,,,,Isomerisierung,,,,,,,,,,,,,,,,,,,,,,,
,,,,ice-cooling,,,,,,,,,,,,,,,,,,,,,Polymerisation,,,,,,,,,,,,,,,,,,,,,,,
,,,,zuletzt bei Siedetemperatur,,,,,,,,,,,,,,,,,,,,,Zersetzung,,,,,,,,,,,,,,,,,,,,,,,
,,,,Erhitzen unter vermindertem Druck,,,,,,,,,,,,,,,,,,,,,Calcination,,,,,,,,,,,,,,,,,,,,,,,
,,,,1.) -78 deg C,,,,,,,,,,,,,,,,,,,,,Hydrogenation,,,,,,,,,,,,,,,,,,,,,,,
,,,,liquid CO2,,,,,,,,,,,,,,,,,,,,,Supercritical conditions,,,,,,,,,,,,,,,,,,,,,,,
,,,,Thermolysis,,,,,,,,,,,,,,,,,,,,,Gas phase,,,,,,,,,,,,,,,,,,,,,,,
,,,,(thermolysis),,,,,,,,,,,,,,,,,,,,,Saturated solution,,,,,,,,,,,,,,,,,,,,,,,
,,,,flash vacuum pyrolysis,,,,,,,,,,,,,,,,,,,,,overnight,,,,,,,,,,,,,,,,,,,,,,,
,,,,Pyrolysis,,,,,,,,,,,,,,,,,,,,,Hydration,,,,,,,,,,,,,,,,,,,,,,,
,,,,(pyrolysis),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
